Salary cap,Playoffs,Wins,Losses,PCT,FG,FG%,3P,3P%,2P,2P%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
178980766,Yes,53,29,0.646,40.5,0.469,14.3,0.364,26.2,0.557,15.6,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,111
174811922,Yes,44,38,0.537,42,0.475,11.5,0.361,30.5,0.538,17.5,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112
168378382,No,42,40,0.512,40.1,0.458,12.8,0.374,27.3,0.512,15.5,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,108.4
164409293,No,33,49,0.402,41.6,0.469,12,0.347,29.7,0.546,16.8,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,112.1
162135421,Yes,51,31,0.622,41.8,0.468,14.1,0.366,27.8,0.544,17.8,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5
149364516,Yes,49,33,0.598,40.6,0.471,14.5,0.36,26,0.568,17.9,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6
148922969,Yes,51,31,0.622,39.4,0.466,11.6,0.364,27.8,0.527,19.6,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9
140840240,Yes,53,29,0.646,39.6,0.467,13.6,0.379,26,0.531,17.3,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110
138598410,Yes,48,34,0.585,41.7,0.483,12.7,0.353,29,0.575,16.7,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,112.7
138181486,No,25,57,0.305,41.4,0.463,12.2,0.344,29.3,0.541,16.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5
138096726,Yes,51,31,0.622,40.7,0.466,13.2,0.356,27.5,0.547,17,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
137098327,Yes,46,36,0.561,41.6,0.457,14.8,0.358,26.8,0.54,18,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9
136476474,Yes,64,18,0.78,43.7,0.485,11.6,0.364,32.1,0.551,15.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8
136385911,No,44,38,0.537,39.7,0.469,11.6,0.355,28.1,0.541,16.8,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,107.8
136166020,Yes,43,39,0.524,41.5,0.47,12.9,0.374,28.6,0.531,18.1,0.812,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9
136083814,Yes,46,36,0.561,41.7,0.48,10.6,0.369,31.1,0.535,17.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6
135793968,Yes,36,46,0.439,40.2,0.457,10.6,0.332,29.5,0.528,18.3,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3
134671484,Yes,48,34,0.585,40.6,0.445,11.9,0.349,28.7,0.503,16.2,0.759,13.4,32,45.3,22.1,9,4.6,12.5,19.6,109.4
132267085,No,20,62,0.244,39.4,0.456,13.5,0.349,25.9,0.543,17.5,0.713,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,109.7
131120355,No,23,59,0.28,38.2,0.431,11.3,0.326,26.9,0.498,17.2,0.782,11,32,43,23.5,7.7,4.8,14.2,21.9,104.8
130457848,No,30,52,0.366,40.5,0.46,11.4,0.344,29.1,0.53,17.9,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3
128019790,No,35,47,0.427,40.6,0.472,10.5,0.342,30.1,0.543,17,0.783,9,34.1,43.1,25,6.4,5,13.1,18.8,108.6
127655401,No,34,48,0.415,43.2,0.467,11.3,0.352,32,0.527,15.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2
126786646,No,24,58,0.293,38.3,0.434,12.2,0.331,26.1,0.507,15.5,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2
124788473,No,27,55,0.329,38.5,0.442,12.7,0.346,25.8,0.513,16.4,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2
124600538,Yes,52,30,0.634,39.3,0.461,13.1,0.35,26.2,0.548,16.4,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,108
122624081,No,37,45,0.451,37.7,0.437,13.2,0.357,24.5,0.497,18,0.744,11.5,34.6,46.1,21.9,7,4.9,13.3,20.4,106.5
122139566,No,43,39,0.524,42.8,0.468,13.9,0.365,28.8,0.542,15.8,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3
117284457,Yes,56,26,0.683,43.5,0.461,11.5,0.353,32,0.519,17,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,115.6
82022873,No,24,58,0.293,40.2,0.457,10.6,0.332,29.5,0.528,18.3,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3
171105334,No,39,33,0.542,41.3,0.468,14.6,0.376,26.7,0.541,16.6,0.785,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7
170444633,Yes,48,24,0.667,43.1,0.494,14.2,0.392,29,0.565,18.1,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6
147825311,Yes,49,23,0.681,41.4,0.476,11.3,0.374,30.1,0.531,19.6,0.767,10,35,45.1,23.7,9.1,6.2,14.4,20.2,113.6
139722606,Yes,47,25,0.653,41.8,0.482,14.3,0.411,27.5,0.529,16.2,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114
139334713,Yes,42,30,0.583,40.6,0.472,11.1,0.354,29.6,0.539,17.2,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
136881324,Yes,52,20,0.722,41.3,0.468,16.7,0.389,24.5,0.544,17.2,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4
136623929,Yes,46,26,0.639,44.7,0.487,14.4,0.389,30.3,0.554,16.2,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
134731235,Yes,40,32,0.556,39.2,0.468,12.9,0.358,26.3,0.553,16.7,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1
133901495,No,31,41,0.431,42.5,0.477,10.6,0.348,31.9,0.544,19,0.729,11.7,35.7,47.4,26,7.6,4.4,14.6,18,114.6
132931565,Yes,36,36,0.5,41.5,0.466,13.6,0.374,27.9,0.53,16.1,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
132022601,Yes,38,34,0.528,42.8,0.467,11.2,0.356,31.7,0.525,16.4,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3
131904647,Yes,42,30,0.583,41.3,0.453,15.7,0.385,25.6,0.509,17.8,0.823,10.6,33.9,44.5,21.3,6.9,5,11.1,18.9,116.1
131784255,No,17,55,0.236,39.3,0.444,13.8,0.339,25.5,0.532,16.5,0.74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.5,108.8
131294012,Yes,34,38,0.472,43.2,0.475,10.2,0.351,33,0.533,20.1,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6
130334934,No,23,49,0.319,40.7,0.448,13.1,0.349,27.6,0.518,17.6,0.761,10.5,33,43.5,25.6,8.8,5.5,14.3,20.9,112.1
130237102,No,34,38,0.472,43.3,0.474,12.3,0.364,30.9,0.54,16.4,0.792,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3
129793210,Yes,47,25,0.653,43.3,0.485,12.9,0.377,30.4,0.552,15.7,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
129605319,No,22,50,0.306,38.6,0.45,10,0.336,28.6,0.51,16.7,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
129537825,No,33,39,0.458,41.9,0.462,9.9,0.35,31.9,0.514,17.4,0.792,9.3,34.6,43.9,24.4,7,5.1,11.4,18,111.1
129131910,No,27,45,0.375,39.7,0.448,14.5,0.368,25.3,0.512,17.4,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3
128963580,No,31,41,0.431,42.2,0.476,12.6,0.37,29.6,0.542,13.8,0.791,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7
128858241,Yes,51,21,0.708,43.3,0.49,13.1,0.378,30.3,0.563,15.6,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
127657823,Yes,42,30,0.583,41.1,0.47,13.8,0.362,27.3,0.554,16.5,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4
121739163,No,21,51,0.292,38.3,0.429,10.9,0.343,27.4,0.476,16.6,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104
118804016,Yes,41,31,0.569,40.8,0.468,12.4,0.373,28.4,0.526,19.7,0.812,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7
117041599,No,20,52,0.278,38.7,0.452,11.6,0.351,27.1,0.515,17.8,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6
108218809,No,33,39,0.458,39.9,0.455,13.7,0.369,26.3,0.517,15.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5
106847430,No,31,41,0.431,42.6,0.481,12.1,0.364,30.5,0.551,16.4,0.745,9.4,32,41.4,25.5,7.5,5,13.4,19.4,113.7
102137151,Yes,41,31,0.569,39.4,0.456,11.8,0.392,27.7,0.49,16.4,0.784,9.7,35.5,45.1,21.4,7,5.1,12.9,20.5,107
95774839,No,22,50,0.306,38.8,0.441,11.9,0.339,26.9,0.509,15.5,0.725,9.9,35.7,45.6,22.1,7,4.4,16.1,18.1,105
132017938,Yes,44,28,0.611,40,0.468,10.7,0.355,29.3,0.529,19.8,0.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4
131979953,Yes,35,39,0.473,42.2,0.463,12.9,0.377,29.3,0.514,17.7,0.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115
131506341,Yes,49,23,0.681,41.6,0.466,12.4,0.371,29.1,0.522,20.8,0.791,10.7,37,47.7,23.7,7.1,4.7,14.6,22.1,116.3
131059022,No,19,46,0.292,40.3,0.458,11.2,0.351,29.1,0.519,15.1,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
129912339,Yes,43,30,0.589,41.1,0.468,11.6,0.368,29.5,0.524,16.9,0.755,10.5,35,45.4,25.8,8,5.3,14.2,20.9,110.7
129867871,Yes,44,29,0.603,39.5,0.468,13.4,0.379,26,0.532,19.7,0.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112
129254928,No,15,50,0.231,38.6,0.438,10.4,0.334,28.2,0.495,18.7,0.803,10,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3
128746180,Yes,46,27,0.63,42,0.473,11,0.359,31.1,0.533,16.2,0.777,10.8,33.4,44.1,26.7,8,4.6,13.8,20.3,111.3
128109922,Yes,44,28,0.611,40.8,0.451,15.6,0.345,25.1,0.557,20.6,0.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
126095610,Yes,33,40,0.452,39.3,0.444,11.1,0.343,28.3,0.502,17.6,0.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3
123971686,Yes,52,19,0.732,42.3,0.48,11,0.349,31.3,0.552,17.7,0.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4
122612183,No,56,17,0.767,43.3,0.476,13.8,0.355,29.5,0.567,18.3,0.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7
122463495,Yes,53,19,0.736,40.2,0.458,13.8,0.374,26.4,0.519,18.5,0.796,9.5,35.9,45.4,25.2,8.8,5,14.8,21.7,112.8
121296256,No,25,47,0.347,41.5,0.457,12,0.368,29.5,0.506,19.4,0.788,10.2,31.9,42,25,8,4.3,14.2,22.7,114.4
120871082,Yes,43,32,0.573,41.7,0.461,15.1,0.367,26.5,0.541,18.6,0.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117
119217331,No,32,39,0.451,42.2,0.472,10.7,0.376,31.5,0.516,19,0.81,9,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1
118910311,Yes,44,28,0.611,40.1,0.471,13.4,0.38,26.7,0.535,17.8,0.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3
118889943,Yes,35,37,0.486,40.4,0.448,13.1,0.343,27.3,0.524,17.9,0.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21,111.8
117868297,No,30,42,0.417,42.6,0.465,13.6,0.37,28.9,0.528,17.1,0.729,11.1,35.4,46.5,26.8,7.5,5,16.4,21.2,115.8
117759332,Yes,48,24,0.667,41.3,0.461,12.6,0.364,28.7,0.522,18.6,0.801,10.7,35.4,46.1,23,8.3,5.6,13.8,21.6,113
114202982,No,19,45,0.297,40.4,0.441,13.3,0.336,27.1,0.521,19.1,0.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3
113796966,No,31,41,0.431,40.9,0.462,12.7,0.364,28.2,0.527,15.7,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1
112872260,Yes,45,28,0.616,42.1,0.476,10.2,0.363,31.9,0.529,15,0.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4
112601901,No,22,43,0.338,39.6,0.447,12.2,0.348,27.4,0.511,15.5,0.755,10.5,31.4,41.9,23.2,10,4.1,15.5,21.8,106.8
110702618,No,20,47,0.299,40.6,0.449,12,0.333,28.6,0.525,18.5,0.79,9.9,33.4,43.3,24,7.8,5.1,16.2,23.1,111.8
104527576,No,20,46,0.303,39.3,0.459,12,0.367,27.3,0.515,16.6,0.743,9.8,32,41.7,24.1,7.4,4.5,15.3,19.7,107.2
100232129,No,21,45,0.318,40,0.447,9.6,0.337,30.4,0.499,16.3,0.694,12,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
98539675,No,34,39,0.466,41.2,0.468,11.4,0.358,29.8,0.529,19.9,0.834,9.8,33.8,43.5,27.2,7.7,4,14.8,22,113.6
98495848,No,34,39,0.466,42.5,0.468,10.9,0.347,31.6,0.532,16.6,0.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6
96552033,No,23,42,0.354,37.3,0.434,12.1,0.352,25.2,0.489,16.2,0.748,11,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
153171497,No,39,43,0.476,39.6,0.45,11.3,0.349,28.3,0.509,15.1,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7
