Team, Salary cap ,Season
Golden State," $178,980,766.00 ",2021/2022
Brooklyn," $174,811,922.00 ",2021/2022
LA Clippers," $168,378,382.00 ",2021/2022
LA Lakers," $164,409,293.00 ",2021/2022
Milwaukee," $162,135,421.00 ",2021/2022
Utah," $149,364,516.00 ",2021/2022
Philadelphia," $148,922,969.00 ",2021/2022
Miami," $140,840,240.00 ",2021/2022
Denver," $138,598,410.00 ",2021/2022
Indiana," $138,181,486.00 ",2021/2022
Boston," $138,096,726.00 ",2021/2022
Minnesota," $137,098,327.00 ",2021/2022
Phoenix," $136,476,474.00 ",2021/2022
Cleveland," $136,385,911.00 ",2021/2022
Atlanta," $136,166,020.00 ",2021/2022
Chicago," $136,083,814.00 ",2021/2022
New Orleans," $135,793,968.00 ",2021/2022
Toronto," $134,671,484.00 ",2021/2022
Houston," $132,267,085.00 ",2021/2022
Detroit," $131,120,355.00 ",2021/2022
Sacramento," $130,457,848.00 ",2021/2022
Washington," $128,019,790.00 ",2021/2022
San Antonio," $127,655,401.00 ",2021/2022
Orlando," $126,786,646.00 ",2021/2022
Portland," $124,788,473.00 ",2021/2022
Dallas," $124,600,538.00 ",2021/2022
New York," $122,624,081.00 ",2021/2022
Charlotte," $122,139,566.00 ",2021/2022
Memphis," $117,284,457.00 ",2021/2022
Oklahoma City," $82,022,873.00 ",2021/2022
Golden State," $171,105,334.00 ",2020/2021
Brooklyn," $170,444,633.00 ",2020/2021
Philadelphia," $147,825,311.00 ",2020/2021
LA Clippers," $139,722,606.00 ",2020/2021
LA Lakers," $139,334,713.00 ",2020/2021
Utah," $136,881,324.00 ",2020/2021
Milwaukee," $136,623,929.00 ",2020/2021
Miami," $134,731,235.00 ",2020/2021
New Orleans," $133,901,495.00 ",2020/2021
Boston," $132,931,565.00 ",2020/2021
Memphis," $132,022,601.00 ",2020/2021
Portland," $131,904,647.00 ",2020/2021
Houston," $131,784,255.00 ",2020/2021
Washington," $131,294,012.00 ",2020/2021
Minnesota," $130,334,934.00 ",2020/2021
Indiana," $130,237,102.00 ",2020/2021
Denver," $129,793,210.00 ",2020/2021
Cleveland," $129,605,319.00 ",2020/2021
San Antonio," $129,537,825.00 ",2020/2021
Toronto," $129,131,910.00 ",2020/2021
Chicago," $128,963,580.00 ",2020/2021
Phoenix," $128,858,241.00 ",2020/2021
Dallas," $127,657,823.00 ",2020/2021
Orlando," $121,739,163.00 ",2020/2021
Atlanta," $118,804,016.00 ",2020/2021
Detroit," $117,041,599.00 ",2020/2021
Charlotte," $108,218,809.00 ",2020/2021
Sacramento," $106,847,430.00 ",2020/2021
New York," $102,137,151.00 ",2020/2021
Oklahoma City," $95,774,839.00 ",2020/2021
Oklahoma City," $132,017,938.00 ",2019/2020
Portland," $131,979,953.00 ",2019/2020
LA Clippers," $131,506,341.00 ",2019/2020
Cleveland," $131,059,022.00 ",2019/2020
Philadelphia," $129,912,339.00 ",2019/2020
Miami," $129,867,871.00 ",2019/2020
Golden State," $129,254,928.00 ",2019/2020
Denver," $128,746,180.00 ",2019/2020
Houston," $128,109,922.00 ",2019/2020
Orlando," $126,095,610.00 ",2019/2020
LA Lakers," $123,971,686.00 ",2019/2020
Milwaukee," $122,612,183.00 ",2019/2020
Toronto," $122,463,495.00 ",2019/2020
Washington," $121,296,256.00 ",2019/2020
